symbol,name,price,pch,rsi,p1m,p3m,score
RMPL,Rafhan Maize Products Company Limited,9898.7,-0.009,55.0019,9605.11,9534.28,3
HPL,Hoechst Pakistan Limited,4027.55,-0.011,48.5418,3999.38,3368.02,3
ISIL,Ismail Industries Limited,2185.08,-0.0027,51.1472,2131,1848.75,3
KHYT,Khyber Textile Mills Limited,1981.04,0.0293,55.0708,1464.71,1449.8,3
SAPT,Sapphire Textile Mills Limited,1425.39,-0.0178,50.5526,1411.88,1200,3
SRVI,Service Industries Limited,1359.95,-0.0031,43.5082,1329.34,1202.39,3
MUREB,Murree Brewery Company Limited,1034.75,-0.0046,58.1095,1028.58,895.7,3
PSEL,Pakistan Services Limited,948.01,0.0018,54.937,932.48,879.32,3
HALEON,Haleon Pakistan Limited,894.61,0.0042,57.8708,879.19,790.02,3
GAL,Ghandhara Automobiles Limited,591.89,0.0056,58.2871,571.71,408.92,3
APL,Attock Petroleum Limited,531.78,0.0386,57.3236,522.35,513.14,3
SHSML,Shahmurad Sugar Mills Limited,510,-0.0538,54.9032,478.9,360,3
LUCK,Lucky Cement Limited,472.14,0.0042,48.4501,443.17,349.66,3
ZIL,ZIL Limited,374.95,0.0089,55.6909,350.64,343.98,3
DYNO,Dynea Pakistan Limited,337.16,0.0016,59.1237,313.25,281.81,3
OTSU,Otsuka Pakistan Limited,318.5,0.0092,47.0203,289.96,297.2,3
BAFS,Baba Farid Sugar Mills Limited,240.15,0.0098,49.9163,228.21,61.01,3
ELCM,Elahi Cotton Mills Limited,233.12,0,57.4416,223.75,131.56,3
INIL,International Industries Limited,227.27,-0.0012,48.1362,217.82,194,3
TSML,Tandlianwala Sugar Mills Limited,223.86,-0.0615,57.8498,214.56,196.24,3
MFFL,Mitchells Fruit Farms Limited,213.71,-0.0028,53.4254,206.17,197.8,3
BWHL,Baluchistan Wheels Limited,191.33,0.0181,54.6863,180.12,142.11,3
SEPL,Security Papers Limited,188.6,0.0146,44.3363,184.16,170.8,3
TOWL,Towellers Limited,178.28,-0.0061,47.6905,171.27,167.68,3
NML,Nishat Mills Limited,162.18,-0.0062,58.9917,152.77,131.75,3
SHJS,Shahtaj Sugar Mills Limited,154.22,0,48.2716,135,135.75,3
AGIL,Agriauto Industries Limited,143.03,-0.0021,50.9182,142.57,127.37,3
MWMP,Mandviwala Mauser Plastic Industries,139.58,-0.1,59.0674,60.67,18.68,3
JSGCL,JS Global Capital Limited,138.5,0,54.3467,134.01,132.37,3
SURC,Suraj Cotton Mills Limited,134.94,-0.0039,43.0786,128.04,119.91,3
BELA,Bela Automotives Limited,126.16,-0.0483,48.8512,125.03,121.88,3
FSWL,Fateh Sports Wear Limited,120,0.0187,58.3232,103.88,77.93,3
SEARL,The Searle Company Limited,115.88,0.0344,50.111,115.47,100.78,3
CPHL,Citi Pharma Ltd.,99.96,-0.0067,59.6728,96.99,90.21,3
MRNS,Mehran Sugar Mills Limited,70,0.0006,43.8293,67.5,51.77,3
ECOP,Ecopack Limited,67.62,-0.0086,50.67,66.9,61.81,3
SML,Shakarganj Limited,67.48,0.0021,48.1535,66.99,66.33,3
JSML,Jauharabad Sugar Mills Limited,64.31,-0.0058,50.874,56.58,46.7,3
FRSM,Faran Sugar Mills Limited,53.02,-0.0008,50.4726,50.78,41.56,3
OCTOPUS,Octopus Digital Limited,52.74,-0.0025,47.2826,52.41,52.07,3
SHCM,Shadman Cotton Mills Limited,52.73,-0.0302,45.8921,48.14,43.65,3
CENI,Century Insurance Company Limited,49.11,0.0385,57.4691,46.28,45,3
LEUL,Leather Up Limited,48.92,0.0018,53.3333,48.3,42.35,3
GEMNETS,Nets International Communication Limited,48,0,59.6467,45.83,32,3
CLOV,Clover Pakistan Limited,44.1,0.0288,54.6154,42.27,42.46,3
DHPL,DH Partners Limited,43.72,-0.0034,54.4757,43.52,37.62,3
PICT,Pakistan International Container,42.02,-0.0012,56.9921,41.9,39.89,3
SMCPL,Safe Mix Concrete Limited,41.82,-0.0048,58.6986,31.67,22.27,3
PAKL,Pak Leather Crafts Limited,38.18,-0.0071,58.3528,33.5,36.3,3
NRSL,Nimir Resins Limited,35.3,-0.0147,54.3792,33.07,29.73,3
FHAM,First Habib Modaraba,33.45,0.0502,46.0194,31.67,23.75,3
TREET,Treet Corporation Limited,28.29,-0.0184,56.9177,25.05,22.86,3
UVIC,The Universal Insurance Company Limited,28.29,-0.0375,53.554,16.2,9.98,3
GEMMEL,Mughal Energy Limited(GEM),28,0,58.8158,26,22,3
SPL,Sitara Peroxide Limited,23.55,-0.0038,40.1753,20.1,15.13,3
SKRS,Sakrand Sugar Mills Limited,22.46,-0.0129,57.2917,15.84,12.08,3
RPL,Roshan Packages Limited,22.12,-0.0217,52.4845,20.8,20.82,3
SINDM,Sindh Modaraba,20.91,-0.0014,52.011,15.28,12.75,3
GCWL,Ghani Chemworld Limited,19.16,0.0423,54.0152,14.72,10.78,3
POWER,Power Cement Limited,18.99,-0.0132,58.5635,17.24,13.7,3
STCL,Shabbir Tiles & Ceramics Limited,18.26,-0.0126,50,17.5,13.78,3
PPVC,Pakistan PVC Limited,17.14,0.0583,48.8203,16.04,10.55,3
SEL,Sitara Energy Limited,17.04,-0.0024,55.2258,14.61,11.33,3
DNCC,Dandot Cement Company Limited,16.64,0.0216,54.8035,16.25,14.99,3
UNIC,The United Insurance Company,16.35,0.0073,58.8933,15.67,16.26,3
TPLRF1,TPL REIT Fund I,16.23,-0.0665,58.4713,15,13.44,3
BGL,Baluchistan Glass Limited,16.1,-0.0118,59.8949,12.65,11.3,3
FTSM,First Tri-Star Modaraba,15.53,-0.0934,51.4683,13.52,13.16,3
GFIL,Ghazi Fabrics International Limited,15,-0.0593,45.8217,13.58,9.93,3
