symbol,name,price,eps,roe,pat,pe_ratio,book_value,score
ITANZ,Itanz Technologies Limited,0.06,6.98,19.139608385897695,68674.12700000001,0.01,36.46887574326208,6
ZHCM,Zahur Cotton Mills Limited,0.06,6.98,19.139608385897695,68674.12700000001,0.01,36.46887574326208,6
TSMF,Tri-Star Mutual Fund Limited,12.5,8.74,40.64295565370543,38665.494999999995,1.43,21.504341550521985,6
TCORP,Tariq Corporation Limited,18.43,9.889999999999999,13.975292252662303,528159.1050000004,1.86,70.76775083623706,6
SFL,Sapphire Fibres Limited,1398.39,661.62,36.282930165214935,13676836.571,2.11,1823.502117903108,6
PHDL,Pakistan Hotels Developers Limited,50.4,23.089999999999996,27.84773911534475,415625,2.18,82.91516917894735,6
SLCL,Security Leasing Corporation Limited,1,0.41000000000000003,31.743666160275513,14752.746000000003,2.44,1.291596244522884,6
THCCL,Thatta Cement Company Limited,74.48,30.179999999999996,38.16677915535995,2556583,2.47,79.07400275289321,6
UNIC,The United Insurance Company,16.35,5.920000000000001,32.75943251150073,1992049.3190000008,2.76,18.071131109861835,6
BRRG,B.R.R Guardian Limited,31.13,8.99,19.22463499613448,842689.3879999999,3.46,46.76291644448714,6
JGICL,Jubilee General Insurance Limited,81.01,22.009999999999998,23.029787026834406,4370058,3.68,95.57187816958036,6
FHAM,First Habib Modaraba,33.45,8.130000000000003,15.585851571644179,901496.5649999995,4.11,52.162693598283475,6
SHNI,Shaheen Insurance Company Limited,8.95,2.14,14.027754990028523,149111.34400000004,4.18,15.255470326657372,6
RICL,Reliance Insurance Company Limited,16.7,3.92,14.10547646587467,243092.65100000007,4.26,27.790624510158466,6
JSIL,JS Investments Limited,32.66,7.35,19.78247267242651,454045.30999999994,4.44,37.1541016217082,6
PAKRI,Pakistan Reinsurance Company Limited,15.86,3.5700000000000003,15.492338780344486,3208653.7480000015,4.44,23.04364789988551,6
GADT,Gadoon Textile Mills Limited,398.33,85.33,10.00340179498008,2391904,4.67,853.00982354643,6
KOHE,Kohinoor Energy Limited,19.01,3.98,18.836058774351166,724351,4.78,21.129685608220324,6
CENI,Century Insurance Company Limited,49.11,9.85,17.25200908190515,544990.238,4.99,57.09479952877614,6
TICL,The Thal Industries Corporation Limited,579.06,114.02,15.705382448707647,1712870.9659999984,5.08,725.9931451677727,6
SHDT,Shadab Textile Mills Limited,57.08,11.149999999999999,10.726516017162426,185025,5.12,103.94801053911632,6
BIPL,BankIslami Pakistan Limited,42.88,8.2783,18.93844996899187,9178159,5.18,43.71160265784238,6
ORM,Orient Rental Mod,14.91,2.8499999999999996,14.646511699417342,213990.503,5.23,19.45855817746267,6
AICL,Adamjee Insurance Company Limited,72.08,13.549999999999999,10.799183518486902,4755875,5.32,125.47244869766341,6
SNBL,Soneri Bank Limited,25.13,4.7118,15.731511886717433,5194692,5.33,29.95134882095031,6
AKBL,Askari Bank Limited,90.67,16.270000000000003,17.310467762945475,23576756,5.57,93.98937234282785,6
DLL,Dawood Lawrencepur Limited,315.03,53.81999999999999,15.590537596053727,3160938,5.85,345.20939171220687,6
786,786 Investments Limited,13.9,2.37,13.032925663581452,35418.22600000001,5.86,18.184712022279147,6
LIVEN,Liven Pharma Limited,69.26,11.770000000000001,14.067563745801332,126032.24500000001,5.88,83.66765001162997,6
ABL,Allied Bank Limited,192.79,32.25,14.939078609590334,36931995,5.98,215.8767675223069,6
PPL,Pakistan Petroleum Limited,203.44,33.730000000000004,13.242308471234557,92027450,6.03,254.71389730325032,6
HICL,Habib Insurance Company Limited,12.99,2.15,12.827688030627096,267250,6.04,16.760619644527594,6
CSAP,Crescent Steel & Allied Products Limited,104.93,17.3,15.062922014827674,1343279,6.07,114.8515539214117,6
OLPM,OLP Modaraba,24.58,3.8400000000000003,13.47942517238021,174076.8450000004,6.4,28.487861692116425,6
JLICL,Jubilee Life Insurance Company Limited,172.54,26.169999999999995,15.14338990690242,2625340,6.59,172.8146746592822,6
NBP,National Bank of Pakistan,218.86,32.89,14.341373959088028,69979079,6.65,229.33646451048608,6
OGDC,Oil & Gas Development Company Limited,278.41,39.5,12.746487307494231,169903614,7.05,309.88929771087743,6
BAFS,Baba Farid Sugar Mills Limited,240.15,33.20000000000001,10.39469127703718,321501.81500000047,7.23,319.3938051180205,6
HBL,Habib Bank Limited,304.42,40.59,13.217564875524094,59533815,7.5,307.09136200393004,6
EFUG,EFU General Insurance Limited,122.8,16.02,12.967462825278059,3204182,7.67,123.53997243602267,6
HAFL,Hafiz Limited,341,44.07999999999999,10.148836314739123,62059.89100000001,7.74,434.33551032824073,6
OLPL,OLP Financial Services Pakistan Limited,57.51,6.99,11.170789187628918,1225471.0360000003,8.23,62.57391382643824,6
DCR,Dolmen City REIT,31.83,3.5999999999999996,10.432746856395086,7991911,8.84,34.50673201941313,6
ACIETF,Alfalah Consumer Index (ETF),20.1,11.36,6.8047,4980189,1.77,7318788.1,5
TRIBL,Trust Investment Bank Limited,0.97,0.43,3.9281648612512576,60439.278,2.26,10.946587406289,5
PINL,Premier Insurance Limited,8.4,2.62,9.735480181628816,108617,3.21,26.911872358838856,5
KOHTM,Kohat Textile Mills Limited,61,13.500000000000004,6.815239731056716,280766,4.52,198.08547509313811,5
SINDM,Sindh Modaraba,20.91,4.470000000000001,9.218183811382955,180113.78800000003,4.68,48.49111377536516,5
LSEVL,LSE Ventures Limited,6.66,1.41,9.68457110490593,250999,4.72,14.55924051490245,5
SURC,Suraj Cotton Mills Limited,134.94,22.54,8.49316948841523,1118683,5.99,265.38973501876757,5
ATRL,Attock Refinery Limited,704.88,112.29999999999998,8.537497470124038,11972065,6.28,1315.3737426333719,5
KTML,Kohinoor Textile Mills Limited,68.9,10.21,8.597911374428389,2749816,6.75,118.7497702100795,5
FPRM,First Paramount Modaraba,11.7,1.73,9.011744808900806,23898.201000000005,6.76,19.197170322569463,5
GATM,Gul Ahmed Textile Mills Limited,38.21,5.440000000000001,8.579088185974541,4022774,7.02,63.41000211296982,5
SANSM,Sanghar Sugar Mills Limited,57.44,7.770000000000003,4.687742217603624,92836,7.39,165.7514351113793,5
GEMPAPL,Pak Agro Packaging Limited(GEM),12.4,1.6,7.149123420100513,31934.609000000084,7.75,22.38036617890008,5
SAPT,Sapphire Textile Mills Limited,1425.39,182.16,9.538313296695375,3950966.682000002,7.82,1909.7716161526255,5
BFMOD,B.F. Modaraba,16.4,1.96,8.366574944489853,14697.196000000005,8.37,23.42655164155121,5
TATM,Tata Textile Mills Limited,168.03,19.88,4.6983736715388345,1113151,8.45,423.12513626632864,5
